List Of Dependencies of this project (direct and indirect)                                        
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Package                   ┃ License(s)                                         ┃
│ tokenizers                │ APACHE SOFTWARE LICENSE                            │
│ torch                     │ BSD LICENSE                                        │
│ tornado                   │ APACHE SOFTWARE LICENSE                            │
│ tqdm                      │ MIT LICENSE;; MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0) │
│ traitlets                 │ BSD LICENSE                                        │
│ transformers              │ APACHE SOFTWARE LICENSE                            │
│ triton                    │ MIT LICENSE                                        │
│ types-python-dateutil     │ APACHE SOFTWARE LICENSE                            │
│ typing_extensions         │ PYTHON SOFTWARE FOUNDATION LICENSE                 │
│ tzdata                    │ APACHE SOFTWARE LICENSE                            │
│ uc-micro-py               │ MIT LICENSE                                        │
│ uri-template              │ MIT LICENSE                                        │
│ urllib3                   │ MIT LICENSE                                        │
│ wcwidth                   │ MIT LICENSE                                        │
│ webcolors                 │ BSD LICENSE                                        │
│ webencodings              │ BSD LICENSE                                        │
│ websocket-client          │ APACHE SOFTWARE LICENSE                            │
│ widgetsnbextension        │ BSD LICENSE                                        │
│ xxhash                    │ BSD LICENSE                                        │
│ yarl                      │ APACHE SOFTWARE LICENSE                            │
└───────────────────────────┴────────────────────────────────────────────────────┘
